judul,tanggal,konten,link
"Hotel Holiday Inn Lampung Bukit Randu hadirkan promo ""July Comforts""",2025-07-07,"Bandarlampung (ANTARA) - Dalam rangka menyambut musim liburan dan memberikan pengalaman menginap yang hangat dan menyenangkan bagi seluruh keluarga, Hotel Holiday Inn Lampung Bukit Randu menghadirkan promo eksklusif bertajuk “July Comforts”. Dengan harga spesial mulai dari Rp799.000 per malam, tamu sudah mendapatkan berbagai keuntungan, termasuk sarapan gratis untuk 2 dewasa dan 2 anak di bawah usia 12 tahun. Tamu juga mendapatkan akses ke fasilitas hotel lengkap, seperti Kids Club – ruang bermain dan aktivitas seru untuk anak-anak, swimming Pool – kolam renang outdoor dengan pemandangan kota, fitness center – gym lengkap untuk menunjang gaya hidup sehat dan gratis parkir selama masa menginap. Promo ini berlaku sepanjang bulan Juli 2025 dan dirancang khusus untuk menciptakan momen berkesan bersama keluarga tanpa harus jauh dari kota. Terletak di kawasan perbukitan strategis dengan panorama indah Kota Bandarlampung, Holiday Inn Lampung Bukit Randu menjadi destinasi favorit bagi wisatawan lokal maupun luar daerah. ""Kami ingin memberikan kesempatan bagi keluarga untuk menikmati waktu bersama dengan nyaman dan terjangkau. July Comforts adalah wujud komitmen kami dalam menghadirkan layanan kelas dunia dengan sentuhan kehangatan lokal,” ujar General Manager Hotel Holiday Inn Lampung Bukit Randu. Ilham Zaid Sungkar dalam pernyataan, Senin. Promo ini dapat dipesan langsung melalui situs resmi hotel atau melalui layanan reservasi di nomor 0721 8600 900 (Telp/Whatsapp). Untuk informasi lebih lanjut, kunjungi situs resmi kami di https://www.ihg.com/holidayinn/hotels/us/en/bandar-lampung/tkgbr/hoteldetail atau ikuti media sosial Holiday Inn Lampung Bukit Randu di Instagram @holidayinnlampungbukitrandu untuk update terbaru.",https://lampung.antaranews.com/berita/785381/hotel-holiday-inn-lampung-bukit-randu-hadirkan-promo-july-comforts
Cerita Sammy Simorangkir ketika dilarang bawakan lagu band Kerispatih,2025-07-22,"Jakarta (ANTARA) - Musisi Hendra Samuel “Sammy” Simorangkir berharap Mahkamah Konstitusi (MK) memberikan penafsiran yang menjamin hak penyanyi maupun pelaku pertunjukan terhadap pasal-pasal dalam Undang-Undang (UU) Nomor 28 Tahun 2014 tentang Hak Cipta. “Saya berharap MK berkenan memberikan penafsiran konstitusional yang menjamin kami, para penyanyi, pelaku pertunjukan, dalam kepastian hukum dan perlindungan yang adil,” kata Sammy saat dihadirkan sebagai saksi dalam sidang lanjutan pengujian materi UU Hak Cipta di Ruang Sidang Pleno MK, Jakarta, Selasa. Menurut Sammy, norma pasal dalam UU Hak Cipta saat ini dapat menjadi pembatas sekaligus ancaman bagi para penyanyi. Ia menyebut kondisi itu merupakan bentuk nyata dari hilangnya jaminan rasa aman untuk melaksanakan profesi secara sah. Padahal, imbuh dia, Undang-Undang Negara Republik Indonesia Tahun 1945 telah menjamin setiap orang memiliki hak atas kepastian hukum yang adil serta hak untuk merasa aman dalam menjalankan kehidupannya sebagai warga negara. Di hadapan persidangan yang dipimpin Ketua MK Suhartoyo, mantan vokalis grup musik Kerispatih itu menyebut lagu yang dulu dia hidupkan melalui suara dan emosi, kini menjadi sumber ancaman hukum. Sammy bercerita setelah dikeluarkan dari band Kerispatih, dia pernah dilarang secara lisan untuk menyanyikan lagu-lagu milik grup musik pop papan atas itu, kecuali jika membayar Rp5 juta per lagu. “Larangan ini disampaikan oleh pihak band Kerispatih yang saya duga kuat dilakukan atas permintaan Saudara Badai, sebagai pencipta utama lagu-lagu tersebut,” katanya. Situasi menjadi semakin rumit ketika Doadibadai Hollo alias Badai keluar dari Kerispatih. Badai disebut melayangkan somasi kepada Kerispatih dan secara terbuka melarang grup musik itu menyanyikan lagu-lagu ciptaannya. Larangan itu ditindaklanjuti melalui pertemuan langsung. Sammy menyebut dalam pertemuan dimaksud, Badai menyodorkan draf perjanjian tertulis kepada manajemen dirinya dan pihak band Kerispatih. Inti dari perjanjian itu ialah apabila Sammy atau Kerispatih ingin menyanyikan lagu-lagu ciptaan Badai, masing-masing diwajibkan membayar kontribusi sebesar 10 persen dari honorarium atau pendapatan off air yang diperoleh dari pertunjukan. “Hal ini menunjukkan bahwa tafsir mengenai adanya kewenangan untuk melarang orang lain, termasuk saya—pihak yang punya jasa turut membesarkan dan mempopulerkan lagu, berasal dari saudara Badai sendiri; dan bukan merupakan kesepakatan kolektif ataupun hasil mekanisme hukum yang pasti,” kata Sammy. Selaku penyanyi yang juga pencipta lagu, Sammy menekankan bahwa dia menghargai dan mendukung keadilan yang layak bagi para pencipta. Namun, ia menilai polemik telah bergeser dari ruang keadilan menuju dominasi sepihak. “Pelaku pertunjukan atau seorang penyanyi seperti saya yang secara sah berkontribusi membesarkan lagu, justru bisa dilarang atau bisa dibatasi secara sewenang-wenang oleh pihak yang merasa memiliki hak atas lagu tersebut,” katanya. Sammy Simorangkir dihadirkan sebagai saksi oleh para pemohon Perkara Nomor 28/PUU-XXIII/2025. Perkara ini diajukan oleh musisi Tubagus Arman Maulana (Armand Maulana), Nazril Irham (Ariel NOAH), serta 27 musisi kenamaan lainnya. Armand Maulana dkk. mendalilkan sejumlah pasal dalam UU Hak Cipta tidak memberikan kepastian hukum. Mereka pada intinya mempersoalkan mekanisme pembayaran royalti dan izin penggunaan ciptaan. Dalam permohonannya, para pemohon meminta agar MK mencabut keberlakuan Pasal 113 ayat (2) huruf f UU Hak Cipta, serta menafsirkan ulang Pasal 9 ayat (3), Pasal 23 ayat (5), Pasal 81, dan Pasal 87 ayat (1) UU Hak Cipta. Berita ini telah tayang di Antaranews.com dengan judul: Sammy Simorangkir harap MK beri penafsiran yang menjamin penyanyi",https://lampung.antaranews.com/berita/788061/cerita-sammy-simorangkir-ketika-dilarang-bawakan-lagu-band-kerispatih
"Superman, film yang berbeda dengan Superman yang kita kenal",2025-07-09,"Jakarta (ANTARA) - Siapa yang tidak kenal dengan sosok pahlawan super manusia baja bernama Superman? Sejak kemunculannya dalam komik di tahun 1938 dan film pertamanya yang diperankan Christopher Reeve di tahun 1978, sosok Superman sangat dikenal oleh pencinta superhero. Belum lagi berbagai film dan juga seri yang membawa kisah Clark Kent ini masih berputar hingga sekarang. Lalu apa yang membedakan film Superman terbaru besutan Sutradara James Gunn dengan yang lainnya? James Gunn membawakan kisah Superman sebagai babak baru dalam cerita superhero DC Universe yang berada di bawah kepemimpinannya. Fase baru ini ditandai dengan munculnya aktor David Corenswet yang memerankan Superman, menggantikan Henry Cavill. Selain David, film ini juga membawakan beberapa aktor dan aktris papan atas seperti Rachel Brosnahan sebagai Lois Lane, Nicholas Hoult sebagai Lex Luthor dan Edi Gathegi sebagai Mr. Terrific. Konflik batin Clark Kent sebagai Superman Alih-alih mengisahkan awal perjalanannya, penonton akan disuguhi dengan kisah manusia baja lewat konflik antara Superman dengan musuh bebuyutannya, Lex Luthor. Tak hanya konflik dengan Luthor, dalam film ini penonton juga akan mengeksplor pergulatan batin Superman yang memiliki peran sebagai seorang manusia bernama Clark Kent, namun juga tanggung jawab sebagai manusia super dari bangsa Krypton. Di sini Superman harus bergelut pada tanggung jawabnya yang besar sebagai manusia super terkuat. Di tengah perannya sebagai pahlawan, Superman justru harus menghadapi kenyataan bahwa kehadirannya di bumi memunculkan anggapan bahwa ia adalah ancaman tapi juga harapan bagi umat manusia. Superman yang penuh akan sentuhan James Gunn Bagi penggemar Superhero, pasti anda cukup kenal dengan gaya film James Gunn seperti dalam film Guardian of The Galaxy (2014) dan Suicide Squad (2021). Film Superman garapannya pun memberikan nuansa yang tak jauh dari berbagai film lama yang pernah ia buat. Sosok superman di film ini terasa penuh warna, penuh aksi dinamis dan kolosal yang memanjakan mata. Serta tentunya, lelucon ringan khas sutradara James Gunn. Candaan bukan fokus utama dari film ini. Tapi saat muncul, penonton bisa tahu bahwa hal tersebut merupakan sentuhan khas yang dimiliki James Gunn. Belum lagi hubungan asmara Clark Kent dengan Lois Lane serta keimutan anjing milik Superman, Krypto, membuat film ini menjadi lebih menghangatkan hati. Tentunya hal ini berbeda dengan film-film Superman yang pernah tayang sebelumnya Walaupun berisi kekonyolan yang mewarnai kisah heroiknya, film ini tidak menghilangkan unsur penting dari Superman yaitu harapan bagi umat manusia. Poin-poin keberanian, kepedulian pada sesama dan heroisme masih kental pada Superman. Hanya saja, sentuhan-sentuhan James Gunn terasa bertabrakan dengan unsur Superman yang kita kenal dari film-film sebelumnya. Sehingga mungkin penonton akan merasa asing dengan Superman garapan James Gunn. Berbeda dengan Superman yang kita kenal Bila dibandingkan dengan Superman sebelumnya, tentu berbeda dengan garapan James Gunn yang seringkali melempar gurauan. Belum lagi, kelakar beberapa karakter utama lainnya seperti Lex Luthor dan Lois Lane serta aksi jenaka yang dilakukan Mr. Terrific dan Green Lantern yang mengundang tawa seisi bioskop. Tapi secara keseluruhan, film ini sangat menyenangkan untuk ditonton banyak orang karena sentuhan James Gunn yang sudah sangat umum dikenal pencinta film Superhero. Terutama dari adegan aksinya yang ciamik dengan CGI yang alus dan memanjakan mata. Tak lupa juga dari berbagai cameo superhero di film ini yang tentunya akan sangat menarik para penggemar DC Universe. Bila penasaran, para penggemar film superhero penuh aksi ini dapat menyaksikan Superman mulai Rabu, 9 Juli 2025. Film sudah dapat anda saksikan di bioskop kesayangan.",https://lampung.antaranews.com/berita/785849/superman-film-yang-berbeda-dengan-superman-yang-kita-kenal
Krakatau Festival kembali terpilih masuk Kharisma Event Nusantara 2025,2025-07-05,"Bandarlampung (ANTARA) - Sekretaris Deputi Bidang Pemasaran Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf) Nova Arisne mengatakan bahwa Festival Krakatau ke-34 kembali terpilih dalam 110 Kharisma Event Nusantara 2025. ""Kita semua patut bersyukur karena tahun ini Krakatau Festival kembali terpilih dalam 110 Kharisma Event Nusantara 2025,"" ujar Sekretaris Deputi Bidang Pemasaran Kementerian Pariwisata dan Ekonomi Kreatif (Kemenparekraf) Nova Arisne di Bandarlampung, Lampung, Sabtu. Ia mengatakan Provinsi Lampung sangat dikenal dengan beragam potensi wisata yang melimpah, dimulai dari wisata alam, budaya, sejarah, dan kulinernya. Oleh karena itu pemerintah akan terus mendorong perluasan promosi pariwisata. ""Penyelenggaraan event yang berkualitas menjadi hal yang penting, karena merupakan instrumen yang efektif dalam mempromosikan dan meningkatkan citra positif pariwisata daerah,"" katanya. Ia menjelaskan sejalan dengan hal tersebut saat ini pihaknya tengah fokus pada penguatan event melalui penerapan intellectual property (IP) base pariwisata Indonesia, yang merupakan bentuk pemanfaatan, serta perlindungan kekayaan intelektual agar pariwisata dapat naik kelas tidak hanya di tingkat nasional, namun juga secara internasional. ""Ini bertujuan untuk mendukung dan menjadikan Indonesia sebagai pusat event global,"" ucap dia. Ia mengatakan Kementerian Pariwisata pun sangat mendukung penyelenggaraan kegiatan Festival Krakatau, dalam rangka mencapai indikator kinerja melalui pencapaian target kunjungan sebanyak 14,6 juta wisatawan mancanegara. Kemudian 1,08 miliar pergerakan wisatawan nusantara, dan juga 25,8 juta orang tenaga kerja di sektor pariwisata pada 2025. ""Festival diharapkan berlangsung dengan lancar dan sukses sehingga dapat menjadi ruang mengembangkan kreativitas, pelestarian adat, seni budaya, serta dapat memberikan dampak positif terhadap peningkatan perekonomian dan kesejahteraan masyarakat Lampung dan sekitarnya,"" tambahnya. Berita ini telah tayang di Antaranews.com dengan judul: Kemenparekraf: Krakatau Festival masuk Kharisma Event Nusantara 2025",https://lampung.antaranews.com/berita/785097/krakatau-festival-kembali-terpilih-masuk-kharisma-event-nusantara-2025
Harga emas Antam meroket,2025-07-23,"Jakarta (ANTARA) - Harga emas Antam yang dipantau dari laman Logam Mulia, Rabu, naik sebesar Rp24.000 per gram, dari Rp1.946.000 per gram menjadi Rp1.970.000 per gram. Adapun harga jual kembali (buyback) emas batangan turut naik, yakni Rp1.816.000 per gram. Transaksi harga jual dikenakan potongan pajak, sesuai dengan PMK No. 34/PMK.10/2017. Penjualan kembali emas batangan ke PT Antam Tbk dengan nominal lebih dari Rp10 juta, dikenakan Pajak Penghasilan (PPh) Pasal 22 sebesar 1,5 persen untuk pemegang Nomor Pokok Wajib Pajak (NPWP) dan 3 persen untuk non-NPWP. PPh 22 atas transaksi buyback dipotong langsung dari total nilai buyback. Berikut harga pecahan emas batangan yang tercatat di laman Logam Mulia Antam pada Rabu: - Harga emas 1 gram: Rp1.970.000. - Harga emas 2 gram: Rp3.880.000. - Harga emas 3 gram: Rp5.795.000. - Harga emas 5 gram: Rp9.625.000. - Harga emas 10 gram: Rp19.195.000. - Harga emas 25 gram: Rp47.862.000. - Harga emas 50 gram: Rp95.645.000. - Harga emas 100 gram: Rp191.212.000. - Harga emas 250 gram: Rp477.765.000. - Harga emas 500 gram: Rp955.320.000. - Harga emas 1.000 gram: Rp1.910.600.000. Potongan pajak harga beli emas sesuai dengan PMK Nomor 34/PMK.10/2017, pembelian emas batangan dikenakan PPh 22 sebesar 0,45 persen untuk pemegang NPWP dan 0,9 persen untuk non-NPWP. Setiap pembelian emas batangan disertai dengan bukti potong PPh 22. Berita ini telah tayang di Antaranews.com dengan judul: Harga emas Antam meroket, sentuh Rp1,97 juta per gram",https://lampung.antaranews.com/berita/788305/harga-emas-antam-meroket
Prabowo arahkan APBN 2026 fokus pada pembiayaan program prioritas,2025-07-23,"Jakarta (ANTARA) - Presiden Prabowo Subianto mengarahkan Rancangan APBN 2026 difokuskan pada pembiayaan program prioritas pemerintah dengan tetap menjaga disiplin fiskal dan mendorong reformasi regulasi. Hal itu disampaikan Menteri Keuangan (Menkeu) Sri Mulyani Indrawati, di Kompleks Istana Kepresidenan, Jakarta, Selasa, seusai melapor kepada Presiden terkait finalisasi nota keuangan dan RAPBN yang akan disampaikan ke DPR pada 15 Agustus 2025. ""Belanja difokuskan kepada program-program penting, kemudian defisit harus dijaga pada level yang baik,"" katanya menyampaikan arahan Presiden Prabowo. Menurut Sri Mulyani, sejumlah program unggulan seperti Makan Bergizi Gratis (MBG), Sekolah Rakyat, Koperasi Desa Merah Putih, Cek Kesehatan Gratis, perbaikan sekolah dan madrasah, serta pembangunan infrastruktur dan ketahanan pangan menjadi inti pembahasan bersama Presiden. Pemerintah juga akan memperkuat belanja pada sektor-sektor strategis, termasuk pendidikan dasar dan menengah, digitalisasi sekolah, hingga pengembangan riset dan inovasi. Ia menambahkan, defisit akan dijaga dalam batas yang sehat maksimal tiga persen, agar tetap memberi dukungan terhadap pertumbuhan ekonomi dan menjaga kepercayaan pasar. Presiden Prabowo juga memberikan arahan agar APBN tidak menjadi satu-satunya penopang pertumbuhan ekonomi. Untuk itu, Menkeu mendorong reformasi regulasi agar diperkuat, sehingga mempermudah investasi, perdagangan, dan memperluas peran lembaga, seperti Danantara, dalam tata kelola aset negara. Sri Mulyani meminta publik menantikan pidato kenegaraan Presiden pada 15 Agustus mendatang, yang akan menjadi momentum penting dalam menyampaikan arah kebijakan fiskal dan prioritas pembangunan nasional 2026. Berita ini telah tayang di Antaranews.com dengan judul: Prabowo arahkan anggaran 2026 fokus biayai MBG hingga perbaiki sekolah",https://lampung.antaranews.com/berita/788269/prabowo-arahkan-apbn-2026-fokus-pada-pembiayaan-program-prioritas
"Sri Mulyani perkirakan defisit APBN 2025 capai 2,78 persen dari PDB",2025-07-23,"Jakarta (ANTARA) - Menteri Keuangan (Menkeu) Sri Mulyani Indrawati menyampaikan bahwa proyeksi defisit APBN pada 2025 diperkirakan mencapai 2,78 persen dari Produk Domestik Bruto (PDB). Hal itu dilaporkan Menkeu kepada Presiden Prabowo Subianto di kompleks Istana Kepresidenan, Jakarta, Selasa, sebagai perkembangan aktual seputar pembahasan APBN 2024 dan 2025 yang sebelumnya berlangsung di DPR. ""Outlook dari APBN akan mencapai defisit 2,78 persen dari PDB. Itu karena dari sisi penerimaan maupun dari sisi belanja negara,"" katanya dalam konferensi pers di kompleks Istana Kepresidenan, Jakarta. Ia menjelaskan, pembahasan mencakup dua agenda utama, yaitu RUU tentang Pelaporan dan Pelaksanaan APBN 2024 yang sedang dibahas bersama Badan Anggaran DPR, serta evaluasi semesteran terhadap pelaksanaan APBN 2025. Dalam proses ini, Kementerian Keuangan tetap berupaya memastikan laporan keuangan pemerintah pusat dapat kembali meraih opini Wajar Tanpa Pengecualian (WTP) dari Badan Pemeriksa Keuangan (BPK). Sri Mulyani menyatakan bahwa meskipun terdapat tekanan fiskal, pemerintah akan tetap melanjutkan tindak lanjut atas berbagai temuan dan rekomendasi audit, serta menjaga kesinambungan fiskal agar tetap sehat dan kredibel. Sebelumnya diberitakan, capaian kinerja keuangan negara pada 2024 menunjukkan tren positif dan terkendali, sebagaimana dipaparkan Menteri Keuangan Sri Mulyani Indrawati dalam rapat kerja bersama Komisi XI DPR RI, Selasa. Defisit APBN 2024 tercatat sebesar 2,30 persen dari PDB, masih dalam kisaran target kebijakan fiskal yang ditetapkan. Sementara itu, rasio penerimaan negara terhadap PDB mencapai 12,70 persen, melampaui target 12,27 persen, dan realisasi pendapatan negara juga melampaui target. Indeks efektivitas kebijakan fiskal dan pengawasan penerimaan negara pun berada di atas target, sejalan dengan pengelolaan fiskal yang semakin akuntabel dan berdampak di masyarakat. Berita ini telah tayang di Antaranews.com dengan judul: Menkeu proyeksikan defisit APBN 2025 capai 2,78 persen dari PDB",https://lampung.antaranews.com/berita/788265/sri-mulyani-perkirakan-defisit-apbn-2025-capai-278-persen-dari-pdb
Prabowo beri arahan untuk reformasi fiskal dan jaga defisit anggaran,2025-07-23,"Jakarta (ANTARA) - Presiden Prabowo Subianto memberikan arahan kepada para menteri, termasuk Menteri Keuangan (Menkeu) Sri Mulyani Indrawati, terkait reformasi fiskal, sekaligus mengingatkan para menteri untuk menjaga defisit APBN, saat rapat terbatas di Jakarta, Selasa (22/7) malam. ""Pada rapat intensif tersebut, Kepala Negara menerima laporan perkembangan pembahasan Anggaran Pendapatan dan Belanja Negara (APBN) yang tengah berlangsung di Dewan Perwakilan Rakyat (DPR),"" kata Sekretaris Kabinet (Seskab) Teddy Indra Wijaya saat dikonfirmasi di Jakarta, Rabu dini hari. Rapat terbatas mengenai APBN itu digelar pada Selasa (22/7) malam setelah rapat terkait optimalisasi kawasan ekonomi khusus (KEK) di Istana Kepresidenan RI, Jakarta. Teddy menjelaskan, Presiden Prabowo memberikan arahan lengkap dan strategis, khususnya mengenai langkah reformasi fiskal, fokus belanja negara, serta pengendalian defisit yang tetap terjaga. Presiden Prabowo, kata Teddy, juga mengingatkan jajaran menterinya bahwa APBN harus menjadi instrumen untuk mendorong pertumbuhan ekonomi nasional. Tidak hanya membahas persoalan fiskal, Presiden Prabowo juga menekankan pentingnya menerapkan langkah-langkah deregulasi untuk menciptakan iklim usaha yang kondusif dan mendorong pertumbuhan ekonomi yang berkelanjutan. ""Dalam pertemuan tersebut, dibahas pula persiapan penyusunan nota keuangan dan RAPBN 2026 yang rencananya akan disampaikan secara langsung oleh Presiden kepada DPR pada Agustus,"" katanya. Secara terpisah, Menkeu Sri Mulyani menyampaikan Presiden Prabowo memberikan sejumlah arahan, yang salah satunya agar APBN digunakan untuk membiayai program-program penting, termasuk di antaranya program-program prioritas pemerintah. ""Arahan Bapak Presiden sudah sangat lengkap. Reform di sisi penerimaan negara tetap dilakukan sehingga kita bisa mendapatkan penerimaan negara yang memadai. Belanja difokuskan kepada program-program penting,"" kata Sri saat jumpa pers selepas rapat itu. Kemudian terkait deregulasi, Sri Mulyani menyebut Presiden Prabowo menginginkan deregulasi agar perekonomian tidak selalu bergantung kepada APBN. “Bapak Presiden menekankan untuk berbagai langkah-langkah deregulasi sehingga perekonomian bisa tumbuh, tidak selalu tergantung kepada APBN. Jadi, dalam hal ini, berbagai perbaikan dari regulasi-regulasi agar mempermudah dunia usaha, investasi, perdagangan dan terutama juga mendorong banyak Danantara serta tata kelola yang baik,” ujar Sri. Terakhir mengenai penyusunan RAPBN 2026, Sri menjelaskan anggaran yang disusun mengakomodir program-program prioritas presiden, di antaranya makan bergizi gratis (MBG), sekolah rakyat (SR), Koperasi Desa/Koperasi Kelurahan Merah Putih dan berbagai program yang mendukung ketahanan pangan. “Dan juga program-program pemerintah lain yang sangat penting seperti pendidikan terutama (yang dikerjakan oleh) Dikdasmen (Kementerian Pendidikan Dasar dan Menengah), perbaikan sekolah-sekolah madrasah, kemudian perbaikan dari sisi sekolah digital dan juga dari Kemendiktisaintek (Kementerian Pendidikan Tinggi, Sains dan Teknologi),” kata Sri. Pada rapat itu, selain Menkeu Sri Mulyani dan dua wakilnya, Suahasil dan Thomas, hadir juga Menteri Koordinator Bidang Perekonomian Airlangga Hartarto, Menteri Sekretaris Negara Prasetyo Hadi. Berita ini telah tayang di Antaranews.com dengan judul: Presiden Prabowo beri arahan reformasi fiskal dan jaga defisit",https://lampung.antaranews.com/berita/788261/prabowo-beri-arahan-untuk-reformasi-fiskal-dan-jaga-defisit-anggaran
"Hyundai Palisade Hybrid keren, harganya mulai dari Rp1,1 miliar",2025-07-09,"Jakarta (ANTARA) - PT Hyundai Motors Indonesia (HMID) secara resmi meluncurkan the all-new Palisade Hybrid dengan harga mulai dari Rp1,1 miliar dan tersedia dalam tiga varian seperti Signature, Calligraphy, dan Calligraphy AWD. Presiden Direktur PT HMID Ju Hun Lee mengatakan bahwa hadirnya produk yang lebih ramah lingkungan ini merupakan komitmen perusahaan dalam menyediakan kendaraan yang memang sangat dibutuhkan oleh konsumen otomotif di Indonesia. ""Dengan bangga kami meluncurkan all new Palisade Hybrid yang menggabungkan efisiensi bahan bakar dan juga tenaga yang dihasilkan,"" kata Ju Hun Lee saat peluncuran the all new Palisade Hybrid di Jakarta, Jumat. Sementara itu, di lokasi yang sama Head of product and corporate strategy PT HMID, Wahyu Kusuma Danny mengatakan bahwa kendaraan tersebut memiliki potensi untuk digemari oleh kalangan atas yang mendambakan kenyamanan selama berkendara. ""The all-new Palisade Hybrid hadir di Indonesia, memiliki positioning sebagai advanced premium SUV untuk VIP family yang ada di Indonesia,"" kata Wahyu Kusuma Danny. Model penyempurnaan terbaru dari Palisade ini mengemban mesin sebesar 2.5 liter turbocharged hybrid engine, sehingga, kendaraan tersebut dapat diandalkan dalam urusan efisiensi pemakaian bahan bakar dan juga tenaga. Di Indonesia, Hyundai Palisade dibanderol dengan harga Rp1,1 miliar untuk varian Signature, Rp1,26 miliar untuk varian Calligraphy dan Rp1,35 miliar untuk varian tertinggi yakni Calligraphy AWD.",https://lampung.antaranews.com/berita/785829/hyundai-palisade-hybrid-keren-harganya-mulai-dari-rp11-miliar
Honda masuk  tiga besar penjualan mobil semester I 2025,2025-07-09,"Jakarta (ANTARA) - PT Honda Prospect Motor (HPM) mencatat total penjualan ritel sebesar 39.193 unit sepanjang semester I 2025, Januari hingga Juni, mempertahankan posisinya sebagai salah satu dari tiga merek mobil dengan penjualan tertinggi di Indonesia. “Kami berterima kasih atas kepercayaan konsumen terhadap produk Honda, khususnya Honda HR-V yang baru saja diluncurkan, sehingga kami dapat mencapai peningkatan penjualan di tengah kondisi pasar yang dinamis saat ini,” ujar Direktur Penjualan dan Pemasaran dan Purnajual PT HPM Yusak Billy dalam siaran pers di Jakarta, Selasa. Penutupan semester pertama 2025 didukung oleh kenaikan penjualan mobil Honda di Indonesia pada Juni sebesar 11 persen dibandingkan bulan sebelumnya. Kenaikan penjualan pada Juni 2025 dikontribusikan oleh model unggulan Honda HR-V yang membukukan penjualan sebanyak 1.555 unit, disusul Honda BR-V yang terjual sebanyak 575 unit atau naik sebesar 15 persen dari bulan sebelumnya. Model populer Honda Brio tetap menjadi tulang punggung penjualan Honda dengan mencatatkan angka penjualan 2.437 unit. Sementara itu, Honda CR-V, Civic, Accord dan model Honda lainnya secara total menyumbang penjualan 671 unit sepanjang Juni 2025.",https://lampung.antaranews.com/berita/785825/honda-masuk-tiga-besar-penjualan-mobil-semester-i-2025
Pakar duga hal ini penyebab kebakaran Wuling Air EV,2025-07-08,"Jakarta (ANTARA) - Menanggapi insiden terbakarnya mobil listrik Wuling Air ev di Bandung baru-baru ini, pakar otomotif dari Institut Teknologi Bandung Yannes Martinus Pasaribu mengungkap penyebab kebakaran bisa jadi bukan karena baterai kendaraan. Dihubungi ANTARA dari Jakarta, Senin, Yannes mengatakan pemeriksaan mendalam diperlukan untuk menentukan penyebab kebakaran, namun jika dilihat secara kasat mata dari kondisi visual video kejadian, kebakaran kemungkinan besar dipicu oleh korsleting pada sistem kelistrikan di area depan mobil, bukan dari baterai. “Analisis awal hanya bisa sebatas visual, karena investigasi teknis yang menyeluruh masih diperlukan. Namun, secara kasat mata terlihat bahwa kebakaran kemungkinan besar dimulai di kap depan, pasca tabrakan,” kata dia. Dari kabar yang beredar, mobil listrik kecil tersebut sempat menabrak sebelum terbakar. Yannes menilai, area kap depan pada mobil listrik biasanya menampung komponen power electronics seperti On-Board Charger (OBC), DC-DC converter, dan Power Distribution Unit (PDU). Komponen-komponen ini berisiko mengalami korsleting, terutama saat terkena air hujan deras, seperti yang terjadi saat insiden. ""Hujan deras berpotensi memperburuk korsleting di area depan seperti komponen kelistrikan dan kontroler HV, kemudian menyebar ke kabin. Lalu, paparan air hujan bisa menjadi faktor yang memperbesar risiko korsleting pada komponen listrik yang terbuka akibat kerusakan dari tabrakan dan paparan air,"" jelas Yannes. Pengamatan awal Yannes senada dengan pernyataan resmi dari Wuling Motors, yang mengonfirmasi bahwa penyebab kebakaran tersebut bukanlah dari unit baterai Air EV tersebut. ""Komponen baterai tegangan tinggi yang terletak di bawah kabin mobil dan motor listrik yang berada di bagian belakang mobil ditemukan dalam kondisi yang utuh dan normal usai proses pemadaman selesai, oleh karenanya dapat dipastikan bila komponen tersebut tidak ada kaitannya dan juga bukan pemicu dari insiden ini,"" ujar Aftersales Director Wuling Motors Maulana Hakim. Meski begitu, Yannes tak menutup kemungkinan bahwa baterai tegangan tinggi tipe LFP bisa ikut terbakar di fase akhir kebakaran, bila suhu api mencapai titik kritis di atas 270°C. Namun, ia menegaskan bahwa baterai bukanlah sumber api awal, karena posisinya yang berada di bawah kabin. Jika dugaan korsleting di sistem kelistrikan 12V terbukti benar, maka menurutnya perlu ada audit terhadap desain wiring harness dan proteksi elektronik di bagian depan mobil listrik. ""Investigasi forensik teknik lanjutan tim independen diperlukan untuk memastikan apakah tabrakan memicu kerusakan pada sistem kelistrikan tegangan tinggi, baterai atau interaksi termal lainnya yang tidak teramati secara visual (dari video yang beredar),"" imbuh Yannes. Adapun insiden terbakarnya mobil listrik Wuling Air EV terjadi di kawasan Soekarno-Hatta, Bandung, pada Sabtu (5/7) malam. Berdasarkan unggahan video yang beredar, di tengah hujan yang mengguyur terlihat pemilik mobil listrik kecil tersebut kebingungan melihat asap yang mengepul di area kap depan mobilnya. Insiden kebakaran ini sempat viral di media sosial dan menimbulkan kekhawatiran terkait keamanan mobil listrik. Tidak ada korban jiwa dalam peristiwa tersebut.",https://lampung.antaranews.com/berita/785581/pakar-duga-hal-ini-penyebab-kebakaran-wuling-air-ev
